sku,precio_reales
5005.0,"1.939,00"
4981.0,"1.939,00"
2893.0,"2.469,00"
10855.0,"529,00"
8203.0,"1.679,00"
234.0,"2.329,00"
10323.0,"2.329,00"
11472.0,"1.939,00"
12745.0,"1.839,00"
816.0,"2.329,00"
9218.0,"1.939,00"
71.0,"1.939,00"
102.0,"1.939,00"
2835.0,"2.469,00"
5279.0,"2.469,00"
9680.0,"619,00"
3001.0,"1.939,00"
13193.0,"2.329,00"
130.0,"1.939,00"
7365.0,"2.469,00"
7364.0,"2.329,00"
10869.0,"529,00"
15848.0,"2.229,00"
10478.0,"499,00"
9496.0,"2.469,00"
1349.0,"1.839,00"
332.0,"1.309,00"
8245.0,"2.989,00"
319.0,"1.939,00"
11891.0,"2.569,00"
8302.0,"2.329,00"
1437.0,"1.939,00"
9679.0,"619,00"
8329.0,"1.939,00"
10184.0,"2.869,00"
2708.0,"2.469,00"
3227.0,"2.469,00"
7714.0,"2.329,00"
2976.0,"639,00"
884.0,"619,00"
1334.0,"2.329,00"
283.0,"1.069,00"
9329.0,"2.329,00"
9357.0,"2.329,00"
1350.0,"2.329,00"
11975.0,"2.329,00"
8979.0,"1.679,00"
6915.0,"2.249,00"
2814.0,"2.469,00"
2694.0,"2.469,00"
2712.0,"2.469,00"
2750.0,"2.469,00"
81.0,"1.939,00"
6803.0,"1.939,00"
2740.0,"2.469,00"
116.0,"1.939,00"
11864.0,"1.939,00"
13109.0,"1.679,00"
3000.0,"2.329,00"
10295.0,"3.129,00"
7013.0,"1.939,00"
6999.0,"1.939,00"
3312.0,"2.329,00"
3289.0,"1.159,00"
3300.0,"959,00"
6706.0,"2.329,00"
12408.0,"2.469,00"
6356.0,"529,00"
2720.0,"2.469,00"
4571.0,"2.469,00"
101.0,"2.329,00"
144.0,"1.939,00"
9566.0,"2.469,00"
9552.0,"2.469,00"
10085.0,"2.569,00"
8219.0,"2.469,00"
8526.0,"1.369,00"
9231.0,"2.329,00"
7378.0,"2.329,00"
12072.0,"2.469,00"
7966.0,"2.329,00"
12254.0,"2.469,00"
8964.0,"2.469,00"
11976.0,"1.939,00"
5135.0,"2.469,00"
87.0,"2.329,00"
10169.0,"3.559,00"
2695.0,"2.469,00"
4572.0,"2.329,00"
3636.0,"2.329,00"
4991.0,"2.469,00"
9356.0,"2.469,00"
15849.0,"2.329,00"
9972.0,"2.229,00"
10127.0,"3.559,00"
11808.0,"1.939,00"
10210.0,"2.469,00"
508.0,"2.329,00"
7224.0,"2.329,00"
11892.0,"3.219,00"
74.0,"2.329,00"
8470.0,"1.369,00"
6789.0,"619,00"
6413.0,"2.469,00"
9470.0,"1.939,00"
9468.0,"2.469,00"
2813.0,"2.469,00"
3324.0,"2.329,00"
9440.0,"2.469,00"
9343.0,"2.329,00"
12073.0,"2.329,00"
12074.0,"1.939,00"
6958.0,"2.329,00"
7645.0,"2.469,00"
7140.0,"2.329,00"
814.0,"1.939,00"
7630.0,"409,00"
7000.0,"2.329,00"
10112.0,"3.009,00"
6817.0,"619,00"
7532.0,"2.329,00"
9328.0,"2.469,00"
129.0,"2.329,00"
9469.0,"2.329,00"
10954.0,"869,00"
9426.0,"2.469,00"
8497.0,"1.939,00"
7182.0,"2.329,00"
1358.0,"2.329,00"
10197.0,"3.129,00"
88.0,"1.939,00"
10925.0,"769,00"
10533.0,"2.329,00"
10238.0,"2.469,00"
10196.0,"2.469,00"
9512.0,"1.939,00"
4969.0,"1.939,00"
7615.0,"439,00"
9553.0,"2.329,00"
1068.0,"2.329,00"
80.0,"479,00"
2837.0,"2.469,00"
12662.0,"939,00"
5147.0,"2.469,00"
7239.0,"2.469,00"
136.0,"2.329,00"
7713.0,"1.939,00"
7687.0,"2.469,00"
9428.0,"1.939,00"
10239.0,"3.129,00"
7363.0,"1.939,00"
123.0,"1.939,00"
4980.0,"2.329,00"
14188.0,"1.939,00"
6875.0,"1.439,00"
6342.0,"529,00"
94.0,"2.329,00"
2788.0,"569,00"
9414.0,"1.939,00"
1413.0,"1.939,00"
8273.0,"1.939,00"
115.0,"2.329,00"
2716.0,"2.469,00"
6971.0,"2.029,00"
1357.0,"1.839,00"
3624.0,"2.329,00"
220.0,"579,00"
213.0,"2.329,00"
2811.0,"2.469,00"
465.0,"2.329,00"
10128.0,"1.939,00"
10252.0,"3.439,00"
12549.0,"2.329,00"
8287.0,"1.939,00"
9903.0,"2.569,00"
11932.0,"2.469,00"
10182.0,"2.469,00"
3648.0,"479,00"
3660.0,"2.329,00"
7700.0,"2.329,00"
3168.0,"2.329,00"
795.0,"2.329,00"
8288.0,"2.329,00"
9412.0,"2.469,00"
1397.0,"1.939,00"
2841.0,"2.469,00"
17169.0,"979,00"
17200.0,"1.029,00"
17184.0,"2.329,00"
17185.0,"1.939,00"
6369.0,"559,00"
311.0,"2.329,00"
1406.0,"2.329,00"
8994.0,"1.779,00"
171.0,"2.329,00"
7196.0,"2.329,00"
12268.0,"2.469,00"
312.0,"1.939,00"
4620.0,"649,00"
10029.0,"3.129,00"
235.0,"1.939,00"
227.0,"2.329,00"
13094.0,"2.229,00"
12619.0,"2.329,00"
3167.0,"2.469,00"
11710.0,"1.939,00"
10840.0,"2.469,00"
10309.0,"3.559,00"
2892.0,"869,00"
6804.0,"599,00"
10170.0,"3.719,00"
11918.0,"2.469,00"
8891.0,"2.469,00"
8947.0,"2.469,00"
8933.0,"2.469,00"
15339.0,"1.839,00"
13067.0,"2.329,00"
8484.0,"1.369,00"
8191.0,"999,00"
3985.0,"1.669,00"
10365.0,"559,00"
2721.0,"2.469,00"
3313.0,"1.939,00"
2963.0,"589,00"
9538.0,"2.469,00"
9581.0,"2.329,00"
10225.0,"2.329,00"
7407.0,"2.469,00"
10868.0,"2.469,00"
200.0,"1.939,00"
2927.0,"2.469,00"
8007.0,"1.939,00"
3205.0,"1.939,00"
